affiliation,paper_count,region,source,evidence
Shizuku AI,1,Other,unresolved,
Sigma Nova,1,Other,unresolved,
Simplexity Robotics,1,Other,unresolved,
SketchX,1,Other,unresolved,
SketchX AI,1,Other,unresolved,
Skild AI,1,Other,unresolved,
SkyWork AI,1,Other,unresolved,
Skywork AI,1,Other,unresolved,
SmarterDx,1,Other,unresolved,
Snapchat,1,Other,unresolved,
Software Engineering,1,Other,unresolved,
Songshan Laboratory,1,Other,unresolved,
South East University,1,Other,unresolved,
Southeast Univeristy,1,Other,unresolved,
Southern Illinois University Carbondale,1,Other,unresolved,
Southern Illinois University-Carbondale,1,Other,unresolved,
Southern University for Science and Technology,1,Other,unresolved,
Southwest Jiaotong university,1,Other,unresolved,
Southwest Petroleum University,1,Other,unresolved,
Southwest University of Finance and Economics,1,Other,unresolved,
Southwest University of Nationalities,1,Other,unresolved,
Southwest University of Science and Technology,1,Other,unresolved,
"Space Applications Centre, ISRO",1,Other,unresolved,
Space Research Institute,1,Other,unresolved,
Spree AI,1,Other,unresolved,
SpreeAI,1,Other,unresolved,
Squirrel Ai Learning,1,Other,unresolved,
State University of New York at Albany,1,Other,unresolved,
State University of New York at Binghamton,1,Other,unresolved,
"State University of New York, Binghamton",1,Other,unresolved,
"State University of New York, Buffalo",1,Other,unresolved,
StepFun AI,1,Other,unresolved,
Stepfun,1,Other,unresolved,
Sutter Health,1,Other,unresolved,
Synapath,1,Other,unresolved,
Synapath AI,1,Other,unresolved,
Synapsor,1,Other,unresolved,
Sync.,1,Other,unresolved,
Synthesia,1,Other,unresolved,
TARS Robotics,1,Other,unresolved,
THU,1,Other,unresolved,
TIH-IITB,1,Other,unresolved,
TORC Europe GMBH,1,Other,unresolved,
Tel-Aviv University Faculty of Law,1,Other,unresolved,
"TelePIX Co., Ltd.",1,Other,unresolved,
TengenX,1,Other,unresolved,
TensorTour Inc,1,Other,unresolved,
TensorTour Inc.,1,Other,unresolved,
TerraSense Analytics,1,Other,unresolved,
Tetras,1,Other,unresolved,
The Allen Institute for Artificial Intelligence,1,Other,unresolved,
"The Atomic Energy and Alternative Energies Commission ( CEA List ), Technological Research Division",1,Other,unresolved,
The Hessian Center for AI,1,Other,unresolved,
The School of Artificial Intelligence and Computer Science,1,Other,unresolved,
"The University of British Columbia, Vector Institute",1,Multiple,ambiguous,USA:columbia|Canada:university of british columbia|Canada:university of british columbia
The University of Chicago,1,Other,unresolved,
The University of Liverpool,1,Other,unresolved,
The University of Winnipeg,1,Other,unresolved,
The World Bank,1,Other,unresolved,
"Theta Labs, Inc.",1,Other,unresolved,
Thinking Machines Lab,1,Other,unresolved,
Tianjin Univerity,1,Other,unresolved,
Torc Robotics,1,Other,unresolved,
Tottori University,1,Other,unresolved,
Toyama University,1,Other,unresolved,
Tradition SA,1,Other,unresolved,
TranscEngram,1,Other,unresolved,
Transsion,1,Other,unresolved,
Trinity College Dublin,1,Other,unresolved,
Tuodao Medical,1,Other,unresolved,
Turing Inc.,1,Other,unresolved,
Twelvelabs,1,Other,unresolved,
Tübingen AI Centre,1,Other,unresolved,
UC San Diego Health,1,Other,unresolved,
UMD,1,Other,unresolved,
UNC Wilmington,1,Other,unresolved,
UST,1,Other,unresolved,
USTB,1,Other,unresolved,
UT Southwestern Medical Center,1,Other,unresolved,
UVT,1,Other,unresolved,
UZH,1,Other,unresolved,
Ubicept,1,Other,unresolved,
Ulm University,1,Other,unresolved,
Ulsan National Institute of Science & Technology,1,Other,unresolved,
UniZg-FER,1,Other,unresolved,
"UniZg-FER, University of Zagreb",1,Other,unresolved,
Unisoc,1,Other,unresolved,
Universidad Católica de Chile,1,Other,unresolved,
Universidad de Alcalá,1,Other,unresolved,
Universidad de Alicante,1,Other,unresolved,
Universidad de Las Palmas de Gran Canaria,1,Other,unresolved,
Universidad de Oviedo,1,Other,unresolved,
Universiteit Antwerpen,1,Other,unresolved,
University Bonn,1,Other,unresolved,
University Of Pittsburgh,1,Other,unresolved,
University Politehnica Timisoara,1,Other,unresolved,
University Tübingen,1,Other,unresolved,
University at Albany - SUNY,1,Other,unresolved,
"University at Buffalo, SUNY",1,Other,unresolved,
University of Augsburg,1,Other,unresolved,
University of Caen Normandy,1,Other,unresolved,
University of Carthage,1,Other,unresolved,
University of Colombo,1,Other,unresolved,
University of Cyprus,1,Other,icra-exact,exact
"University of Dublin, Trinity College",1,Other,unresolved,
University of Dundee,1,Other,unresolved,
University of East Anglia,1,Other,unresolved,
University of Geneva,1,Other,unresolved,
University of Goettingen,1,Other,unresolved,
University of Hawaii at Manoa,1,Other,unresolved,
University of Hongkong,1,Other,unresolved,
University of Jyväskylä,1,Other,unresolved,
University of Kashmir,1,Other,unresolved,
University of Limerick,1,Other,unresolved,
"University of Ljubljana, ETH",1,Multiple,ambiguous,Switzerland:eth|Slovenia:ljubljana
University of Luxemburg,1,Other,unresolved,
University of Lübeck,1,Other,unresolved,
University of Manitoba,1,Other,unresolved,
University of Memphis,1,Other,unresolved,
University of Milan-Bicocca,1,Other,unresolved,
University of Milano-Bicocca,1,Other,unresolved,
University of Missouri - Kansas City,1,Other,unresolved,
"University of Modena and Reggio Emilia, University of Pisa",1,Other,unresolved,
University of Oxford & Google Research,1,Multiple,ambiguous,USA:google|United Kingdom:university of oxford
University of Southern Califotnia,1,Other,unresolved,
University of St. Gallen,1,Other,unresolved,
University of St.Gallen,1,Other,unresolved,
University of Teesside,1,Other,unresolved,
University of Toronto & Google DeepMind,1,Multiple,ambiguous,USA:google|Canada:university of toronto
University of Toyama,1,Other,unresolved,
University of Turin,1,Other,unresolved,
University of Western Ontario,1,Other,unresolved,
University of of South Carolina,1,Other,unresolved,
Università degli Studi di Firenze,1,Other,unresolved,
Università degli Studi di Modena e Reggio Emilia,1,Other,unresolved,
Università degli Studi di Verona,1,Other,unresolved,
Università di Modena e Reggio Emilia,1,Other,unresolved,
"Università di Pisa, Dipartimento di Informatica",1,Other,unresolved,
Universität Zürich,1,Multiple,ambiguous,Switzerland:zurich|Spain:universitat
Université Claude Bernard Lyon 1,1,Other,unresolved,
Université de Bretagne Sud,1,Other,unresolved,
Université de Lille,1,Other,unresolved,
Université de Lorraine,1,Other,unresolved,
Université de Strasbourg,1,Other,unresolved,
Univesridad Industrial de Santander,1,Other,unresolved,
UoG,1,Other,unresolved,
V&R Vision & Robotics GmbH,1,Other,unresolved,
VIVIX.AI,1,Other,unresolved,
VNU University of Engineering and Technology,1,Other,unresolved,
"Vectolink (Fuzhou, Fujian) Information Technology Co., Ltd.",1,Other,unresolved,
Vidyasirimedhi Institute of Science and Technology,1,Other,unresolved,
Vietnam National University Hanoi,1,Other,unresolved,
"Vietnam National University, Hanoi",1,Other,unresolved,
VinUniversity & Monash University,1,Multiple,ambiguous,Australia:monash|Vietnam:vinuniversity
Virginia Commonwealth University,1,Other,unresolved,
Vishwakarma Institute of Information Technology,1,Other,unresolved,
Vision & Robotics GmbH,1,Other,unresolved,
Vision Impulse GmbH,1,Other,unresolved,
"Visual Recognition Group, CTU in Prague",1,Other,unresolved,
Waabi Innovations Inc,1,Other,unresolved,
Wake Forest Baptist Health,1,Other,unresolved,
Wake Forest University,1,Other,unresolved,
Wake Forest University School of Medicine,1,Other,unresolved,
Wand AI,1,Other,unresolved,
Wand Technologies Inc.,1,Other,unresolved,
Waste Management,1,Other,unresolved,
Wayve AI,1,Other,unresolved,
Webank,1,Other,unresolved,
Weifang University,1,Other,unresolved,
Wenzhou-Kean University,1,Other,unresolved,
Westcliff University,1,Other,unresolved,
Western Digital Corporation,1,Other,unresolved,
Western Sydney University,1,Other,unresolved,
Western Univeristy,1,Other,unresolved,
Wherobots,1,Other,unresolved,
Willamette University,1,Other,unresolved,
WisdomAI,1,Other,unresolved,
"Women’s Hospital, School of Medicine",1,Other,unresolved,
Wuhan Textile University,1,Other,unresolved,
Wuhan polytechnic university,1,Other,unresolved,
Wuyi University,1,Other,unresolved,
Wuzhou university,1,Other,unresolved,
Xi'an University of artificial intelligence,1,Other,unresolved,
Xianova Robotics,1,Other,unresolved,
Xidain University,1,Other,unresolved,
Xihua University,1,Other,unresolved,
Xi‘an Jiaotong University,1,Other,unresolved,
Xi‘an jiaotong university,1,Other,unresolved,
Xi’an University of Technology,1,Other,unresolved,
Xpeng Motors,1,Other,unresolved,
Yan Shan University,1,Other,unresolved,
Yanbian University,1,Other,unresolved,
Yangtze River Delta HlT Robot Technology Research Institute,1,Other,unresolved,
Yangzhou University,1,Other,unresolved,
Yazd University,1,Other,unresolved,
Yeshiva University,1,Other,unresolved,
Yinwang Intelligent Technology Co. Ltd.,1,Other,unresolved,
"Yinwang Intelligent Technology Co.,Ltd.",1,Other,unresolved,
ZJUT,1,Other,unresolved,
Zhangjiang Laboratory,1,Other,unresolved,
Zhejiang College of Security Technology,1,Other,unresolved,
"Zhejiang Tmall Technology Co., Ltd.",1,Other,unresolved,
Zillow group,1,Other,unresolved,
Zuse Institute Berlin (ZIB),1,Other,unresolved,
Zuse School ELIZA,1,Other,unresolved,
Zynix AI,1,Other,unresolved,
alibabagroup,1,Other,unresolved,
chongqiong university of technology,1,Other,unresolved,
cupes,1,Other,unresolved,
dClimate,1,Other,unresolved,
dConstruct Robotics,1,Other,unresolved,
duxiaoman,1,Other,unresolved,
eBay Inc.,1,Other,unresolved,
easywith,1,Other,unresolved,
fal,1,Other,unresolved,
fbeta,1,Other,unresolved,
gaotu,1,Other,unresolved,
hutb,1,Other,unresolved,
iFLYTEK,1,Other,unresolved,
iFLYTEK Research,1,Other,unresolved,
iMean.AI,1,Other,unresolved,
iMean.ai,1,Other,unresolved,
iMeanAI,1,Other,unresolved,
"iie,cas",1,Other,unresolved,
inspatio,1,Other,unresolved,
inspirai,1,Other,unresolved,
jilin university,1,Other,unresolved,
liaoning Normal University,1,Other,unresolved,
lightillusions,1,Other,unresolved,
"logp(x) lab, MODULABS",1,Other,unresolved,
mach-drive,1,Other,unresolved,
mybank,1,Other,unresolved,
niversity of Technology Nuremberg,1,Other,unresolved,
nju,1,Other,unresolved,
nudt,1,Other,unresolved,
patsnap,1,Other,unresolved,
polyic,1,Other,unresolved,
skywork,1,Other,unresolved,
student,1,Other,unresolved,
wake forest university,1,Other,unresolved,
webank,1,Other,unresolved,
xinjiang university,1,Other,unresolved,
中国科学院信息工程研究所,1,Other,unresolved,
中国科学院自动化研究所,1,Other,unresolved,
华为,1,Other,unresolved,
湖南文理学院,1,Other,unresolved,
나,1,Other,unresolved,
